Family_ICTV	host_ICTV	size_kb_ICTV	topology_ICTV	host_ICTV_simple
Autosignataviridae	bacteria	37.7-47.9	1 linear segment	bacteria
Autotranscriptaviridae	bacteria	31.5-45.0	1 linear segment	bacteria
Avsunviroidae	plants	0.2-0.5	1 circular segment	plants
Bacilladnaviridae	protists, invertebrates	3.4-6.0	1 partially double-stranded circular segment (+)	non-vertebrates
Baculoviridae	invertebrates	81.7-178.8	1 circular segment	invertebrates
Barnaviridae	fungi	4.0-4.1	1 linear segment	fungi
Bartogtaviriformidae	bacteria	uncertain	multisegmented	bacteria
Basaltiviridae	archaea	13.2-14.0	1 circular segment	archaea
Belpaoviridae	invertebrates, vertebrates	4.7-9.1	2 identical linear segments	incl-vertebrates
Benyviridae	plants	11.2-16.0	2-5 linear segments	plants
Berryhillviridae	bacteria	46.6-51.3	1 linear segment	bacteria
Betaflexiviridae	plants	6.4-9.5	1 linear segment	plants
Betagokushoviridae	bacteria	4.0-5.1	1 circular segment	bacteria
Betaormycoviridae	fungi, protists	3.9-4.7	2 linear segments	non-vertebrates
Bicaudaviridae	archaea	62.7-62.8	1 circular segment	archaea
Bidnaviridae	invertebrates	12.5-12.6	2 linear segments	invertebrates
Birnaviridae	invertebrates, vertebrates	5.7-6.7	2 linear segments	incl-vertebrates
Blefusviridae	archaea	34.5-34.6	1 linear segment	archaea
Blumeviridae	bacteria	3.7-4.9	1 linear segment	bacteria
Bornaviridae	vertebrates	8.7-11.1	1 linear segment	vertebrates
Botourmiaviridae	fungi, plants	1.6-5.2	1 or 3 linear segments	non-vertebrates
Botybirnaviridae	fungi	11.0-12.5	2 linear segments	fungi
Brachygtaviriformidae	bacteria	uncertain	multisegmented	bacteria
Bromoviridae	plants	7.7-8.9	3 linear segments	plants
Buchnerviridae	bacteria	38.4-61.4	1 linear segment	bacteria
Burtonviroviridae	protists	29.7-29.8	1 circular segment	protists
Caliciviridae	vertebrates	6.4-8.3	1 linear segment	vertebrates
Carmotetraviridae	invertebrates	6.1-6.2	1 linear segment	invertebrates
Casidaviridae	bacteria	40.4-50.2	1 linear segment	bacteria
Casjensviridae	bacteria	54.4-64.0	1 linear segment	bacteria
Caulimoviridae	plants	6.4-9.9	1 circular segment	plants
Chaacviridae	archaea	10.1-10.8	1 segment	archaea
Chaseviridae	bacteria	50.7-57.5	1 linear segment	bacteria
Chicoviridae	bacteria	5.6-6.6	1 circular segment	bacteria
Chimalliviridae	bacteria	211.2-316.7	1 segment	bacteria
Chiyouviridae	archaea	26.8-26.9	1 linear segment	archaea
Chrysoviridae	fungi, plants, invertebrates	8.8-16.1	3-7 linear segments	non-vertebrates
Chuviridae	invertebrates, vertebrates	9.0-12.1	1-2 linear or circular segments	incl-vertebrates
Circoviridae	invertebrates, vertebrates	1.6-2.4	1 circular segment	incl-vertebrates
Clavaviridae	archaea	5.2-5.3	1 circular segment	archaea
Clermontviridae	archaea	37.6-37.7	1 linear segment	archaea
Closteroviridae	plants	12.9-21.1	1-3 linear segments	plants
Colingsworthviridae	bacteria	40.4-45.7	1 linear segment	bacteria
Connertonviridae	bacteria	123.8-183.2	1 linear segment	bacteria
Coronaviridae	vertebrates	25.4-36.7	1 linear segment	vertebrates
Corticoviridae	bacteria	10.0-10.6	1 circular segment	bacteria
Cremegaviridae	vertebrates	14.9-17.8	1 linear segment	vertebrates
Crepuscuviridae	invertebrates	12.0-12.1	1 linear segment	invertebrates
Crevaviridae	bacteria	83.4-95.9	1 segment	bacteria
Cruliviridae	invertebrates	10.7-11.6	3 linear segments	invertebrates
Curvulaviridae	fungi	3.7-4.3	2 linear segments	fungi
Cystoviridae	bacteria	12.6-15.0	3 linear segments	bacteria
Dallocaviridae	archaea	109.5-109.6	1 linear segment	archaea
Danacaviridae	archaea	109.6-109.7	1 linear segment	archaea
Darmviridae	bacteria	93.6-104.1	1 linear segment	bacteria
Deltaflexiviridae	fungi	7.7-8.3	1 linear segment	fungi
Deltaormycoviridae	protists, fungi	4.5-4.9	2 linear segments	non-vertebrates
Demerecviridae	bacteria	97.2-138.0	1 linear segment	bacteria
Dicistroviridae	invertebrates	8.0-10.5	1 linear segment	invertebrates
Discoviridae	fungi	6.3-9.7	3 linear segments	fungi
Dishuiviroviridae	protists	24.7-24.8	1 circular segment	protists
Draupnirviridae	invertebrates, vertebrates	1.5-5.3	1 circular segment	incl-vertebrates
Drexlerviridae	bacteria	37.6-54.5	1 linear segment	bacteria
Druskaviridae	archaea	102.3-103.3	1 linear segment	archaea
Duinviridae	bacteria	3.5-4.5	1 linear segment	bacteria
Dumbiviridae	fungi	4.2-5.0	1 circular segment	fungi
Duneviridae	bacteria	39.2-47.0	1 linear segment	bacteria
Ehrlichviridae	bacteria	48.5-52.9	1 linear segment	bacteria
Ekchuahviridae	archaea	71.7-80.6	1 segment	archaea
Endolinaviridae	protists	2.6-3.2	1 circular segment	protists
Endornaviridae	protists, fungi, plants	9.6-17.7	1 linear segment	non-vertebrates
Epsomviridae	bacteria	659.9-660.0	1 linear segment	bacteria
Eubullaviridae	bacteria	5.3-6.3	1 circular segment	bacteria
Eupolintoviridae	invertebrates, vertebrates	12.5-12.8	1 linear segment	incl-vertebrates
Eurekaviridae	archaea	17.9-18.0	1 circular segment	archaea
Euroniviridae	invertebrates	uncertain	1 linear segment	invertebrates
Felixviridae	bacteria	44.7-46.5	1 linear segment	bacteria
Fervensviridae	archaea	31.2-31.3	1 linear segment	archaea
Fiersviridae	bacteria	3.2-5.1	1 linear segment	bacteria
Filamentoviridae	invertebrates	101.1-137.9	1 circular segment	invertebrates
Filoviridae	vertebrates	13.7-21.0	1 linear segment	vertebrates
Fimoviridae	plants	11.6-18.9	4-10 linear segments	plants
Finnlakeviridae	bacteria	9.1-9.2	1 circular segment	bacteria
Flaviviridae	invertebrates, vertebrates	10.0-11.9	1 linear segment	incl-vertebrates
Forsetiviridae	bacteria	43.9-47.2	1 linear segment	bacteria
Fredfastierviridae	bacteria	43.3-43.5	1 linear segment	bacteria
